"CODEST","NOMEST","SUBTIPEST","caca","codasi","nomasi","tipo","crdtsects","duracion","teopra","fechainicio","fechafin","dia","horaini","horafin","aula","descaula","clase_activ","descactiv"
"C201","GRADO EN INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN","GRA","2015-16","20000","ELECTRÓNICA BÁSICA","T","6","S","T","10/09/2015","23/12/2015","4","08:30","09:30","0042PB025","(A3/0005) AULA 5 - PLANTA BAJA - AULARIO III","TEO","CLASE TEÓRICA"
"C201","GRADO EN INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN","GRA","2015-16","20000","ELECTRÓNICA BÁSICA","T","6","S","T","10/09/2015","23/12/2015","2","13:00","14:30","0042PB042","(A3/0014) AULA 14 - PLANTA BAJA - AULARIO III","TEO","CLASE TEÓRICA"
"C201","GRADO EN INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN","GRA","2015-16","20000","ELECTRÓNICA BÁSICA","T","6","S","T","10/09/2015","23/12/2015","2","15:00","16:30","0042PB025","(A3/0005) AULA 5 - PLANTA BAJA - AULARIO III","TEO","CLASE TEÓRICA"
"C201","GRADO EN INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN","GRA","2015-16","20000","ELECTRÓNICA BÁSICA","T","6","S","T","10/09/2015","23/12/2015","3","17:00","18:00","0042PB025","(A3/0005) AULA 5 - PLANTA BAJA - AULARIO III","TEO","CLASE TEÓRICA"
"C201","GRADO EN INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN","GRA","2015-16","20000","ELECTRÓNICA BÁSICA","T","6","S","P","10/09/2015","23/12/2015","4","09:30","10:30","0042PB025","(A3/0005) AULA 5 - PLANTA BAJA - AULARIO III","PPR","PRÁCTICAS DE PROBLEMAS"
"C201","GRADO EN INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN","GRA","2015-16","20000","ELECTRÓNICA BÁSICA","T","6","S","P","29/09/2015","29/09/2015","2","10:00","11:30","0022PB007","LABORATORIO L07 (ELECTRÓNICA) - PLANTA BAJA - FACULTAD DE EDUCACIÓN II","PLA","PRÁCTICAS DE LABORATORIO"
"C201","GRADO EN INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN","GRA","2015-16","20000","ELECTRÓNICA BÁSICA","T","6","S","P","20/10/2015","20/10/2015","2","10:00","11:30","0022PB007","LABORATORIO L07 (ELECTRÓNICA) - PLANTA BAJA - FACULTAD DE EDUCACIÓN II","PLA","PRÁCTICAS DE LABORATORIO"
"C201","GRADO EN INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN","GRA","2015-16","20000","ELECTRÓNICA BÁSICA","T","6","S","P","03/11/2015","03/11/2015","2","10:00","11:30","0022PB007","LABORATORIO L07 (ELECTRÓNICA) - PLANTA BAJA - FACULTAD DE EDUCACIÓN II","PLA","PRÁCTICAS DE LABORATORIO"
"C201","GRADO EN INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN","GRA","2015-16","20000","ELECTRÓNICA BÁSICA","T","6","S","P","17/11/2015","17/11/2015","2","10:00","11:30","0022PB007","LABORATORIO L07 (ELECTRÓNICA) - PLANTA BAJA - FACULTAD DE EDUCACIÓN II","PLA","PRÁCTICAS DE LABORATORIO"
"C201","GRADO EN INGENIERÍA EN SONIDO E IMAGEN EN TELECOMUNICACIÓN","GRA","2015-16","20000","ELECTRÓNICA BÁSICA","T","6","S","P","01/12/2015","01/12/2015","2","10:00","11:30","0022PB007","LABORATORIO L07 (ELECTRÓNICA) - PLANTA BAJA - FACULTAD DE EDUCACIÓN II","PLA","PRÁCTICAS DE LABORATORIO"
